"Microsoft SQL Server 2014 Express LocalDB " : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.218 False" : "" : "Unknown"
"Python 3.10.5 Utility Scripts (64-bit)" : "" : "Unknown"
"Python 3.10.5 pip Bootstrap (64-bit)" : "" : "Unknown"
"Python 3.10.5 Core Interpreter (64-bit symbols)" : "" : "Unknown"
"Microsoft .NET Host - 7.0.3 (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660 False" : "" : "Unknown"
"PyMEL for Maya 2023" : "" : "Unknown"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030" : "" : "Unknown"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.34.31931" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.0 False" : "" : "Unknown"
"Microsoft .NET Host FX Resolver - 6.0.14 (x64)" : "" : "Unknown"
"UE4 Prerequisites (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30411 False" : "" : "Unknown"
"Jami" : "C:\Program Files\Savoir-Faire Linux\Jami\" : "Unknown"
"Microsoft Visual C++ 2010 Redistributable - x64 10.0.30319 False" : "" : "Unknown"
"Bifrost Extension 2.4.0.0 for Maya 2023" : "C:\Program Files\Autodesk\Bifrost\Maya2023\2.4.0.0\" : "Unknown"
"MayaBonusTools" : "" : "Unknown"
"Microsoft .NET Host - 5.0.17 (x64)" : "" : "Unknown"
"Microsoft ASP.NET Core 6.0.3 Targeting Pack (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.34.31931" : "" : "Unknown"
"Eclipse Temurin JDK with Hotspot 11.0.12+7 (x64)" : "C:\Program Files\Eclipse Foundation\jdk-11.0.12.7-hotspot\" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148.0 False" : "" : "Unknown"
"Microsoft .NET Runtime - 7.0.3 (x64)" : "" : "Unknown"
"Open-Shell" : "" : "Unknown"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.57102 False" : "" : "Unknown"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.58298 False" : "" : "Unknown"
"Python 3.10.5 Core Interpreter (64-bit debug)" : "" : "Unknown"
"Windows Subsystem for Linux Update" : "" : "Unknown"
"MayaUSD Extension 0.16.0 202202052333-1c49ce6 for Maya 2023" : "C:\Program Files\Autodesk\MayaUSD\Maya2023\0.16.0\" : "Unknown"
"Accessibility.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"AppxManifest.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"assets" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"clretwrc.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"clrgc.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"clrjit.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"coreclr.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"createdump.exe" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"cs" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"D3DCompiler_47_cor3.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"de" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"DirectWriteForwarder.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"en-US" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"es" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"fr" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"getfilesiginforedist.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"getfilesiginforedistwrapper.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"hostfxr.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"hostpolicy.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"install-explorer-context.reg" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"install-file-context.reg" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Install-PowerShellRemoting.ps1" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"install.json" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"InstallPSCorePolicyDefinitions.ps1" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"it" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"ja" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"ko" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"LICENSE.txt" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"manifest.json" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Markdig.Signed.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"mi.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.ApplicationInsights.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Bcl.AsyncInterfaces.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.CodeAnalysis.CSharp.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.CodeAnalysis.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.CSharp.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Extensions.ObjectPool.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Management.Infrastructure.CimCmdlets.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Management.Infrastructure.CimCmdlets.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Management.Infrastructure.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Management.Infrastructure.Native.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Management.Infrastructure.Native.Unmanaged.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Commands.Diagnostics.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Commands.Diagnostics.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Commands.Management.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Commands.Management.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
